699a95b6-0259-4b7c-a64c-24ec86d9ae01Patricia                                          Castillo Salazar                                  Pediatria                                         +502 6884-9970patricia.castillosalazar@hospital.org                                                               07:00 AM01:00 PM1
6919fb82-3aec-4a1b-8643-ec74741e72cbFernando                                          Mendoza Castaneda                                 Cardiologia                                       +502 3519-8093fernando.mendozacastaneda@hospital.org                                                              08:00 AM03:00 PM1
e4b2974b-7756-4f1e-98c1-1fe8213358dcLaura                                             Garcia Morales                                    Neurologia                                        +502 5292-4476laura.garciamorales@hospital.org                                                                    09:00 AM05:00 PM1
44975731-9d5a-43d5-ab3d-50da9b2151a0Andres                                            Salazar Morales                                   Traumatologia                                     +502 6743-2209andres.salazarmorales@hospital.org                                                                  10:00 AM04:00 PM1
7b82cfc6-9649-479f-adce-dcd2991d9261Paola                                             Rios Garcia                                       Dermatologia                                      +502 5913-1243paola.riosgarcia@hospital.org                                                                       11:00 AM06:00 PM1
6ccb20f9-826e-4490-8fbf-0d47a732b3f2Diego                                             Alvarez Martinez                                  Ginecologia                                       +502 5387-8246diego.alvarezmartinez@hospital.org                                                                  12:00 PM08:00 PM1
e19fe2e3-876b-4250-a138-ddbccccf4d58Lucia                                             Gomez Fuentes                                     Medicina General                                  +502 4085-8217lucia.gomezfuentes@hospital.org                                                                     07:00 AM01:00 PM1
bce2ae28-4c9a-4a95-9825-63f73d60de37Jose                                              Martinez Reyes                                    Oftalmologia                                      +502 3713-1164jose.martinezreyes@hospital.org                                                                     08:00 AM03:00 PM1
94173dcf-3a34-49d8-9f02-c528c444a3a7Elena                                             Ramirez Guzman                                    Psiquiatria                                       +502 5737-3975elena.ramirezguzman@hospital.org                                                                    09:00 AM05:00 PM1
d03cef0a-fdb4-4354-b6d9-b6333ec3200eAlejandro                                         Hernandez Guzman                                  Oncologia                                         +502 3157-8443alejandro.hernandezguzman@hospital.org                                                              10:00 AM04:00 PM0
1cc269b9-b3e1-4a56-b6d4-427a3e965196Valentina                                         Fuentes Castaneda                                 Gastroenterologia                                 +502 7756-7160valentina.fuentescastaneda@hospital.org                                                             11:00 AM06:00 PM1
5e95b913-7b39-4e47-81ad-ec43ad88d61aHector                                            Herrera Ruiz                                      Neumologia                                        +502 6261-6003hector.herreraruiz@hospital.org                                                                     12:00 PM08:00 PM1
6aaaea18-e400-4cc9-9201-edb60488a07dMaria                                             Cruz Martinez                                     Nefrologia                                        +502 4601-9094maria.cruzmartinez@hospital.org                                                                     07:00 AM01:00 PM1
7145f230-920a-4f0c-8fdd-4547081b637bAndres                                            Estrada Ruiz                                      Endocrinologia                                    +502 6775-9499andres.estradaruiz@hospital.org                                                                     08:00 AM03:00 PM1
3b5359f0-f0d2-4885-8f68-59b4031e2e23Daniela                                           Guzman Mendoza                                    Pediatria                                         +502 3429-7573daniela.guzmanmendoza@hospital.org                                                                  09:00 AM05:00 PM1
b007842d-879d-4ed5-9123-7dfee62268d1Jose                                              Castaneda Estrada                                 Cardiologia                                       +502 3625-2093jose.castanedaestrada@hospital.org                                                                  10:00 AM04:00 PM1
caa87dfd-5d26-42aa-9798-4cd0f8b07e57Camila                                            Soto Ramos                                        Neurologia                                        +502 5142-7807camila.sotoramos@hospital.org                                                                       11:00 AM06:00 PM1
7bae6b59-4fbb-4934-ab70-de41ed212327Sergio                                            Ruiz Castaneda                                    Traumatologia                                     +502 3398-4479sergio.ruizcastaneda@hospital.org                                                                   12:00 PM08:00 PM1
22cefaa7-24eb-47c3-a8b9-bc3c77865d98Gabriela                                          Gonzalez Castillo                                 Dermatologia                                      +502 6295-6759gabriela.gonzalezcastillo@hospital.org                                                              07:00 AM01:00 PM1
09e06b5c-5c19-4fc9-ac34-6e30a1244b93Sergio                                            Herrera Vargas                                    Ginecologia                                       +502 3476-3328sergio.herreravargas@hospital.org                                                                   08:00 AM03:00 PM0
6de98f86-0c60-4fbb-9070-59ee50d5fa87Camila                                            Estrada Estrada                                   Medicina General                                  +502 3029-4983camila.estradaestrada@hospital.org                                                                  09:00 AM05:00 PM1
49f4fbe3-86af-4a73-9973-433d5d2c7dcfFrancisco                                         Ruiz Vargas                                       Oftalmologia                                      +502 3275-2522francisco.ruizvargas@hospital.org                                                                   10:00 AM04:00 PM1
0bf48071-7a19-4e26-8543-bf417bd15153Patricia                                          Gonzalez Mendoza                                  Psiquiatria                                       +502 7451-4031patricia.gonzalezmendoza@hospital.org                                                               11:00 AM06:00 PM1
f950bc63-ded5-4dff-9b35-5c14c10a0e9fEduardo                                           Vargas Cruz                                       Oncologia                                         +502 3606-5679eduardo.vargascruz@hospital.org                                                                     12:00 PM08:00 PM1
1d397191-c5bf-4658-a9f9-f7ce90d1b649Camila                                            Castaneda Gomez                                   Gastroenterologia                                 +502 3323-2652camila.castanedagomez@hospital.org                                                                  07:00 AM01:00 PM1
